Report Number,Date Reported,Date of Occurance,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date and Time of Case Closed,Case Status,Crime Occurred,Age Group
16412,16 November 2021,14 November 2021,08:22:00,Mumbai,548,Identity Theft,75,M,Blunt Object,Violent Crime,19,No,,Open,Morning,Senior Citizen
16413,16 November 2021,14 November 2021,14:01:00,Kolkata,184,Extortion,15,M,Poison,Other Crime,11,No,,Open,Afternoon,Teenager
16414,15 November 2021,14 November 2021,19:48:00,Rajkot,587,Shoplifting,39,F,Other,Other Crime,18,No,,Open,Evening,Adult
16415,16 November 2021,14 November 2021,06:28:00,Vasai,465,Extortion,54,F,Other,Other Crime,12,No,,Open,Morning,Senior Citizen
16416,15 November 2021,14 November 2021,17:51:00,Bangalore,357,Domestic Violence,40,F,None,Violent Crime,7,Yes,23-01-2022 08:00,Closed,Evening,Adult
16417,15 November 2021,15 November 2021,04:30:00,Hyderabad,587,Public Intoxication,18,F,Explosives,Other Crime,9,No,,Open,Night,Teenager
16418,16 November 2021,15 November 2021,03:01:00,Ahmedabad,589,Traffic Violation,25,F,Knife,Traffic Fatality,3,No,,Open,Night,Adult
16419,15 November 2021,15 November 2021,17:33:00,Pune,448,Fraud,45,M,None,Other Crime,16,Yes,23-11-2021 20:00,Closed,Evening,Adult
16420,17 November 2021,15 November 2021,22:52:00,Surat,105,Drug Offense,74,F,Poison,Other Crime,17,Yes,01-02-2022 00:00,Closed,Evening,Senior Citizen
16421,17 November 2021,15 November 2021,15:32:00,Delhi,509,Burglary,45,F,Blunt Object,Other Crime,3,Yes,22-12-2021 05:00,Closed,Afternoon,Adult
16422,17 November 2021,15 November 2021,14:29:00,Bangalore,548,Shoplifting,10,F,Poison,Other Crime,9,No,,Open,Afternoon,Child
16423,16 November 2021,15 November 2021,03:09:00,Mumbai,421,Domestic Violence,32,F,None,Violent Crime,18,No,,Open,Night,Adult
16424,18 November 2021,15 November 2021,22:58:00,Kolkata,194,Fraud,61,M,Other,Other Crime,16,Yes,18-12-2021 00:00,Closed,Evening,Senior Citizen
16425,15 November 2021,15 November 2021,08:16:00,Lucknow,324,Firearm Offense,67,F,Firearm,Fire Accident,11,Yes,24-01-2022 17:00,Closed,Morning,Senior Citizen
16426,17 November 2021,15 November 2021,03:11:00,Rajkot,511,Homicide,50,F,Explosives,Other Crime,14,Yes,26-09-2023 00:00,Closed,Night,Adult
16427,16 November 2021,15 November 2021,14:23:00,Jaipur,264,Traffic Violation,45,M,Explosives,Traffic Fatality,13,No,,Open,Afternoon,Adult
16428,18 November 2021,15 November 2021,17:55:00,Ahmedabad,331,Traffic Violation,76,F,Knife,Traffic Fatality,2,Yes,11-12-2021 07:00,Closed,Evening,Senior Citizen
16429,17 November 2021,15 November 2021,08:02:00,Pune,399,Public Intoxication,41,F,Other,Other Crime,15,No,,Open,Morning,Adult
16430,17 November 2021,15 November 2021,07:38:00,Lucknow,140,Burglary,51,M,Knife,Other Crime,19,No,,Open,Morning,Senior Citizen
16431,18 November 2021,15 November 2021,10:40:00,Nagpur,206,Drug Offense,73,M,Firearm,Other Crime,19,Yes,17-12-2021 01:00,Closed,Morning,Senior Citizen
16432,16 November 2021,15 November 2021,16:44:00,Lucknow,254,Fraud,62,M,Other,Other Crime,6,Yes,02-12-2021 07:00,Closed,Evening,Senior Citizen
16433,17 November 2021,15 November 2021,13:12:00,Rajkot,364,Sexual Assault,41,M,Explosives,Violent Crime,6,Yes,14-08-2022 14:00,Closed,Afternoon,Adult
16434,18 November 2021,15 November 2021,10:49:00,Bangalore,211,Vehicle - Stolen,21,M,Explosives,Violent Crime,19,No,,Open,Morning,Adult
16435,16 November 2021,15 November 2021,14:25:00,Kolkata,472,Fraud,63,F,Explosives,Other Crime,13,Yes,07-01-2022 01:00,Closed,Afternoon,Senior Citizen
16436,18 November 2021,15 November 2021,07:53:00,Ludhiana,124,Domestic Violence,50,M,None,Violent Crime,6,Yes,07-01-2022 07:00,Closed,Morning,Adult
16437,18 November 2021,15 November 2021,17:18:00,Pune,237,Kidnapping,32,M,Firearm,Other Crime,9,Yes,11-01-2022 16:00,Closed,Evening,Adult
16438,16 November 2021,15 November 2021,11:16:00,Delhi,352,Firearm Offense,65,F,None,Fire Accident,19,Yes,30-01-2022 06:00,Closed,Morning,Senior Citizen
16439,17 November 2021,15 November 2021,09:59:00,Kolkata,579,Identity Theft,37,M,None,Violent Crime,7,No,,Open,Morning,Adult
16440,16 November 2021,15 November 2021,03:48:00,Mumbai,177,Illegal Possession,68,M,None,Other Crime,12,Yes,04-12-2021 18:00,Closed,Night,Senior Citizen
16441,16 November 2021,16 November 2021,01:22:00,Kolkata,586,Cybercrime,49,F,Explosives,Other Crime,6,Yes,06-12-2021 03:00,Closed,Night,Adult
16442,18 November 2021,16 November 2021,09:18:00,Kolkata,427,Domestic Violence,59,F,Blunt Object,Violent Crime,13,Yes,11-02-2022 08:00,Closed,Morning,Senior Citizen
16443,17 November 2021,16 November 2021,04:02:00,Surat,378,Vehicle - Stolen,60,F,None,Violent Crime,17,Yes,11-01-2022 00:00,Closed,Night,Senior Citizen
16444,19 November 2021,16 November 2021,03:50:00,Kolkata,485,Homicide,24,F,Explosives,Other Crime,7,No,,Open,Night,Adult
16445,16 November 2021,16 November 2021,00:59:00,Delhi,381,Sexual Assault,35,F,Knife,Violent Crime,6,Yes,22-04-2023 17:00,Closed,Night,Adult
16446,18 November 2021,16 November 2021,01:17:00,Mumbai,248,Traffic Violation,58,F,Blunt Object,Traffic Fatality,16,Yes,20-11-2021 09:00,Closed,Night,Senior Citizen
16447,18 November 2021,16 November 2021,18:31:00,Mumbai,558,Robbery,21,F,Explosives,Violent Crime,7,Yes,29-01-2022 23:00,Closed,Evening,Adult
16448,18 November 2021,16 November 2021,11:20:00,Faridabad,274,Kidnapping,25,M,Knife,Other Crime,9,Yes,28-11-2021 21:00,Closed,Morning,Adult
16449,18 November 2021,16 November 2021,05:20:00,Bangalore,445,Firearm Offense,14,F,Poison,Fire Accident,5,No,,Open,Night,Teenager
16450,16 November 2021,16 November 2021,04:19:00,Kolkata,500,Sexual Assault,30,M,Explosives,Violent Crime,3,Yes,22-08-2022 18:00,Closed,Night,Adult
16451,18 November 2021,16 November 2021,15:37:00,Ahmedabad,493,Arson,20,F,Blunt Object,Fire Accident,7,Yes,08-02-2022 13:00,Closed,Afternoon,Adult
16452,19 November 2021,16 November 2021,01:13:00,Thane,168,Robbery,22,F,None,Violent Crime,17,No,,Open,Night,Adult
16453,17 November 2021,16 November 2021,02:33:00,Vasai,231,Extortion,68,F,Other,Other Crime,17,No,,Open,Night,Senior Citizen
16454,18 November 2021,16 November 2021,02:32:00,Delhi,452,Public Intoxication,49,F,Knife,Other Crime,2,Yes,17-12-2021 16:00,Closed,Night,Adult
16455,16 November 2021,16 November 2021,05:25:00,Rajkot,157,Vandalism,77,F,Other,Other Crime,7,No,,Open,Night,Senior Citizen
16456,18 November 2021,16 November 2021,04:31:00,Mumbai,114,Arson,22,M,Firearm,Fire Accident,1,Yes,01-12-2021 10:00,Closed,Night,Adult
16457,19 November 2021,16 November 2021,13:40:00,Chennai,555,Sexual Assault,46,F,Poison,Violent Crime,18,Yes,05-02-2023 14:00,Closed,Afternoon,Adult
16458,18 November 2021,16 November 2021,13:02:00,Delhi,458,Assault,58,F,Poison,Violent Crime,16,Yes,16-01-2022 04:00,Closed,Afternoon,Senior Citizen
16459,18 November 2021,16 November 2021,17:56:00,Jaipur,440,Burglary,55,F,Firearm,Other Crime,1,Yes,11-04-2022 05:00,Closed,Evening,Senior Citizen
16460,19 November 2021,16 November 2021,06:07:00,Delhi,181,Domestic Violence,46,M,Other,Violent Crime,15,Yes,29-11-2021 06:00,Closed,Morning,Adult
16461,19 November 2021,16 November 2021,01:42:00,Lucknow,556,Arson,37,F,Explosives,Fire Accident,12,No,,Open,Night,Adult
16462,18 November 2021,16 November 2021,10:47:00,Mumbai,286,Public Intoxication,56,M,Poison,Other Crime,14,No,,Open,Morning,Senior Citizen
16463,17 November 2021,16 November 2021,17:18:00,Bhopal,193,Fraud,18,X,Poison,Other Crime,19,No,,Open,Evening,Teenager
16464,18 November 2021,16 November 2021,21:49:00,Ghaziabad,361,Robbery,25,F,Blunt Object,Violent Crime,7,No,,Open,Evening,Adult
16465,19 November 2021,17 November 2021,23:12:00,Hyderabad,457,Drug Offense,18,M,Poison,Other Crime,3,Yes,08-02-2022 09:00,Closed,Evening,Teenager
16466,18 November 2021,17 November 2021,12:17:00,Delhi,219,Arson,53,M,Blunt Object,Fire Accident,15,No,,Open,Afternoon,Senior Citizen
16467,19 November 2021,17 November 2021,17:52:00,Chennai,417,Fraud,78,X,None,Other Crime,14,Yes,14-02-2022 05:00,Closed,Evening,Senior Citizen
16468,19 November 2021,17 November 2021,09:09:00,Nagpur,458,Burglary,53,M,Blunt Object,Other Crime,1,No,,Open,Morning,Senior Citizen
16469,19 November 2021,17 November 2021,14:44:00,Bangalore,536,Traffic Violation,47,F,None,Traffic Fatality,15,No,,Open,Afternoon,Adult
16470,20 November 2021,17 November 2021,19:01:00,Pune,306,Illegal Possession,46,X,Blunt Object,Other Crime,16,Yes,11-02-2022 00:00,Closed,Evening,Adult
16471,17 November 2021,17 November 2021,11:04:00,Vasai,501,Sexual Assault,73,X,Explosives,Violent Crime,17,Yes,13-06-2022 14:00,Closed,Morning,Senior Citizen
16472,19 November 2021,17 November 2021,10:55:00,Bangalore,330,Kidnapping,76,M,Other,Other Crime,12,Yes,05-12-2021 20:00,Closed,Morning,Senior Citizen
16473,20 November 2021,17 November 2021,15:36:00,Agra,225,Robbery,69,X,Knife,Violent Crime,15,No,,Open,Afternoon,Senior Citizen
16474,19 November 2021,17 November 2021,14:10:00,Bangalore,318,Public Intoxication,65,F,Blunt Object,Other Crime,5,No,,Open,Afternoon,Senior Citizen
16475,20 November 2021,17 November 2021,01:58:00,Chennai,178,Drug Offense,56,X,Firearm,Other Crime,11,No,,Open,Night,Senior Citizen
16476,20 November 2021,17 November 2021,08:14:00,Visakhapatnam,173,Drug Offense,42,X,Firearm,Other Crime,2,Yes,11-01-2022 08:00,Closed,Morning,Adult
16477,19 November 2021,17 November 2021,14:20:00,Rajkot,569,Burglary,25,X,Other,Other Crime,15,No,,Open,Afternoon,Adult
16478,18 November 2021,17 November 2021,04:32:00,Delhi,268,Identity Theft,33,X,Poison,Violent Crime,16,No,,Open,Night,Adult
16479,19 November 2021,17 November 2021,07:03:00,Meerut,285,Burglary,27,F,Blunt Object,Other Crime,12,No,,Open,Morning,Adult
16480,18 November 2021,17 November 2021,04:04:00,Bangalore,474,Public Intoxication,10,X,Explosives,Other Crime,8,Yes,07-12-2021 08:00,Closed,Night,Child
16481,17 November 2021,17 November 2021,12:01:00,Chennai,464,Traffic Violation,79,M,Explosives,Traffic Fatality,6,No,,Open,Afternoon,Senior Citizen
16482,19 November 2021,17 November 2021,01:55:00,Jaipur,373,Sexual Assault,27,X,Knife,Violent Crime,15,No,,Open,Night,Adult
16483,18 November 2021,17 November 2021,16:19:00,Bangalore,376,Burglary,54,M,Blunt Object,Other Crime,1,Yes,20-03-2022 19:00,Closed,Evening,Senior Citizen
16484,18 November 2021,17 November 2021,20:35:00,Hyderabad,485,Illegal Possession,37,F,None,Other Crime,9,Yes,06-01-2022 05:00,Closed,Evening,Adult
16485,20 November 2021,17 November 2021,12:34:00,Hyderabad,586,Traffic Violation,18,M,Firearm,Traffic Fatality,8,No,,Open,Afternoon,Teenager
16486,18 November 2021,17 November 2021,06:14:00,Indore,409,Domestic Violence,49,X,Explosives,Violent Crime,18,No,,Open,Morning,Adult
16487,19 November 2021,17 November 2021,19:58:00,Vasai,470,Extortion,12,X,Other,Other Crime,4,No,,Open,Evening,Child
16488,18 November 2021,17 November 2021,09:59:00,Indore,229,Burglary,62,F,Blunt Object,Other Crime,2,No,,Open,Morning,Senior Citizen
16489,19 November 2021,18 November 2021,15:35:00,Ludhiana,339,Illegal Possession,53,F,Knife,Other Crime,15,Yes,10-01-2022 21:00,Closed,Afternoon,Senior Citizen
16490,19 November 2021,18 November 2021,02:30:00,Bangalore,274,Homicide,68,F,Firearm,Other Crime,19,No,,Open,Night,Senior Citizen
16491,18 November 2021,18 November 2021,04:21:00,Kolkata,135,Traffic Violation,12,M,Explosives,Traffic Fatality,7,No,,Open,Night,Child
16492,19 November 2021,18 November 2021,20:54:00,Ahmedabad,267,Vandalism,57,M,Knife,Other Crime,16,Yes,26-12-2021 01:00,Closed,Evening,Senior Citizen
16493,18 November 2021,18 November 2021,05:13:00,Kanpur,587,Cybercrime,25,X,Blunt Object,Other Crime,16,No,,Open,Night,Adult
16494,20 November 2021,18 November 2021,16:51:00,Bangalore,461,Assault,31,F,Knife,Violent Crime,8,Yes,23-01-2022 15:00,Closed,Evening,Adult
16495,21 November 2021,18 November 2021,09:28:00,Lucknow,385,Public Intoxication,46,F,Explosives,Other Crime,3,No,,Open,Morning,Adult
16496,20 November 2021,18 November 2021,12:34:00,Agra,255,Drug Offense,38,X,None,Other Crime,9,No,,Open,Afternoon,Adult
16497,19 November 2021,18 November 2021,05:59:00,Delhi,147,Shoplifting,21,X,Other,Other Crime,5,No,,Open,Night,Adult
16498,19 November 2021,18 November 2021,15:20:00,Mumbai,246,Identity Theft,62,X,Blunt Object,Violent Crime,8,No,,Open,Afternoon,Senior Citizen
16499,18 November 2021,18 November 2021,00:07:00,Nagpur,523,Arson,21,M,Other,Fire Accident,3,Yes,04-01-2022 12:00,Closed,Night,Adult
16500,20 November 2021,18 November 2021,20:37:00,Bangalore,483,Counterfeiting,35,M,None,Other Crime,15,No,,Open,Evening,Adult
16501,19 November 2021,18 November 2021,07:05:00,Nagpur,192,Vehicle - Stolen,11,X,Poison,Violent Crime,6,Yes,02-02-2022 00:00,Closed,Morning,Child
16502,18 November 2021,18 November 2021,15:56:00,Varanasi,117,Vandalism,32,X,None,Other Crime,9,No,,Open,Afternoon,Adult
16503,20 November 2021,18 November 2021,13:38:00,Bangalore,209,Assault,41,X,Poison,Violent Crime,18,No,,Open,Afternoon,Adult
16504,19 November 2021,18 November 2021,20:13:00,Ghaziabad,582,Sexual Assault,65,X,Explosives,Violent Crime,14,No,,Open,Evening,Senior Citizen
16505,20 November 2021,18 November 2021,01:07:00,Bhopal,304,Kidnapping,77,M,None,Other Crime,15,Yes,16-02-2022 22:00,Closed,Night,Senior Citizen
16506,21 November 2021,18 November 2021,07:06:00,Chennai,432,Shoplifting,32,X,Poison,Other Crime,11,Yes,25-12-2021 16:00,Closed,Morning,Adult
16507,19 November 2021,18 November 2021,11:52:00,Kolkata,371,Shoplifting,30,F,Knife,Other Crime,18,No,,Open,Morning,Adult
16508,19 November 2021,18 November 2021,18:16:00,Agra,448,Extortion,44,F,Knife,Other Crime,11,No,,Open,Evening,Adult
16509,20 November 2021,18 November 2021,04:20:00,Delhi,544,Extortion,53,X,Explosives,Other Crime,10,No,,Open,Night,Senior Citizen
16510,21 November 2021,18 November 2021,21:20:00,Delhi,267,Cybercrime,74,F,None,Other Crime,8,No,,Open,Evening,Senior Citizen
16511,21 November 2021,18 November 2021,22:04:00,Mumbai,489,Cybercrime,23,X,Explosives,Other Crime,11,No,,Open,Evening,Adult
16512,19 November 2021,18 November 2021,04:20:00,Hyderabad,568,Robbery,76,F,Explosives,Violent Crime,6,No,,Open,Night,Senior Citizen
16513,20 November 2021,19 November 2021,10:09:00,Bangalore,232,Vehicle - Stolen,78,X,Explosives,Violent Crime,15,Yes,11-12-2021 02:00,Closed,Morning,Senior Citizen
16514,21 November 2021,19 November 2021,07:45:00,Hyderabad,253,Identity Theft,62,M,Poison,Violent Crime,13,Yes,01-12-2021 23:00,Closed,Morning,Senior Citizen
16515,19 November 2021,19 November 2021,20:12:00,Bangalore,263,Assault,36,M,None,Violent Crime,11,Yes,26-11-2021 14:00,Closed,Evening,Adult
16516,19 November 2021,19 November 2021,17:52:00,Nagpur,280,Cybercrime,40,X,Blunt Object,Other Crime,12,Yes,26-11-2021 20:00,Closed,Evening,Adult
16517,21 November 2021,19 November 2021,00:41:00,Visakhapatnam,385,Homicide,14,X,Other,Other Crime,13,Yes,10-07-2022 07:00,Closed,Night,Teenager
16518,20 November 2021,19 November 2021,20:45:00,Bangalore,399,Illegal Possession,71,M,Explosives,Other Crime,6,Yes,28-01-2022 02:00,Closed,Evening,Senior Citizen
16519,21 November 2021,19 November 2021,22:58:00,Mumbai,587,Drug Offense,68,F,Other,Other Crime,15,Yes,01-12-2021 17:00,Closed,Evening,Senior Citizen
16520,20 November 2021,19 November 2021,22:07:00,Meerut,176,Traffic Violation,16,F,Knife,Traffic Fatality,10,No,,Open,Evening,Teenager
16521,21 November 2021,19 November 2021,17:43:00,Kolkata,444,Domestic Violence,32,F,Other,Violent Crime,3,Yes,07-01-2022 14:00,Closed,Evening,Adult
16522,19 November 2021,19 November 2021,19:21:00,Nashik,488,Burglary,39,M,Other,Other Crime,18,No,,Open,Evening,Adult
16523,21 November 2021,19 November 2021,05:07:00,Delhi,137,Drug Offense,40,X,Explosives,Other Crime,13,Yes,26-12-2021 09:00,Closed,Night,Adult
16524,19 November 2021,19 November 2021,05:13:00,Chennai,508,Robbery,53,F,Knife,Violent Crime,6,Yes,05-05-2022 19:00,Closed,Night,Senior Citizen
16525,21 November 2021,19 November 2021,12:22:00,Hyderabad,383,Vandalism,65,M,Blunt Object,Other Crime,15,No,,Open,Afternoon,Senior Citizen
16526,22 November 2021,19 November 2021,09:25:00,Delhi,356,Counterfeiting,79,M,Explosives,Other Crime,14,Yes,07-12-2021 00:00,Closed,Morning,Senior Citizen
16527,20 November 2021,19 November 2021,23:15:00,Bangalore,423,Robbery,13,F,Knife,Violent Crime,10,No,,Open,Evening,Teenager
16528,20 November 2021,19 November 2021,06:47:00,Delhi,524,Cybercrime,45,M,Other,Other Crime,11,Yes,13-12-2021 03:00,Closed,Morning,Adult
16529,21 November 2021,19 November 2021,09:08:00,Delhi,525,Traffic Violation,64,M,Firearm,Traffic Fatality,17,No,,Open,Morning,Senior Citizen
16530,22 November 2021,19 November 2021,08:48:00,Delhi,580,Fraud,15,M,Knife,Other Crime,11,Yes,03-01-2022 09:00,Closed,Morning,Teenager
16531,21 November 2021,19 November 2021,21:17:00,Hyderabad,181,Identity Theft,22,M,Blunt Object,Violent Crime,8,No,,Open,Evening,Adult
16532,21 November 2021,19 November 2021,22:13:00,Delhi,243,Identity Theft,48,X,Blunt Object,Violent Crime,7,Yes,26-12-2021 23:00,Closed,Evening,Adult
16533,20 November 2021,19 November 2021,22:53:00,Hyderabad,319,Fraud,35,F,Firearm,Other Crime,4,Yes,14-12-2021 00:00,Closed,Evening,Adult
16534,21 November 2021,19 November 2021,20:18:00,Ludhiana,218,Robbery,23,F,Firearm,Violent Crime,8,Yes,06-02-2022 09:00,Closed,Evening,Adult
16535,20 November 2021,19 November 2021,12:00:00,Chennai,131,Robbery,68,X,Firearm,Violent Crime,3,No,,Open,Afternoon,Senior Citizen
16536,20 November 2021,19 November 2021,07:05:00,Bhopal,388,Drug Offense,77,F,Blunt Object,Other Crime,11,No,,Open,Morning,Senior Citizen
16537,20 November 2021,20 November 2021,05:56:00,Mumbai,507,Identity Theft,30,M,None,Violent Crime,4,No,,Open,Night,Adult
16538,21 November 2021,20 November 2021,18:40:00,Pune,480,Arson,25,X,Other,Fire Accident,15,Yes,25-12-2021 18:00,Closed,Evening,Adult
16539,20 November 2021,20 November 2021,00:13:00,Kanpur,315,Arson,43,X,Poison,Fire Accident,14,No,,Open,Night,Adult
16540,22 November 2021,20 November 2021,22:34:00,Pune,436,Vehicle - Stolen,16,M,Firearm,Violent Crime,9,Yes,26-01-2022 01:00,Closed,Evening,Teenager
16541,20 November 2021,20 November 2021,14:51:00,Visakhapatnam,442,Public Intoxication,19,F,Other,Other Crime,12,Yes,25-11-2021 22:00,Closed,Afternoon,Teenager
16542,21 November 2021,20 November 2021,01:42:00,Pune,506,Public Intoxication,64,M,Other,Other Crime,10,Yes,22-11-2021 04:00,Closed,Night,Senior Citizen
16543,20 November 2021,20 November 2021,22:24:00,Pune,256,Vandalism,73,F,Firearm,Other Crime,10,No,,Open,Evening,Senior Citizen
16544,21 November 2021,20 November 2021,20:43:00,Hyderabad,550,Cybercrime,25,F,Blunt Object,Other Crime,13,No,,Open,Evening,Adult
16545,22 November 2021,20 November 2021,15:54:00,Chennai,132,Cybercrime,28,M,Blunt Object,Other Crime,16,No,,Open,Afternoon,Adult
16546,21 November 2021,20 November 2021,02:42:00,Rajkot,348,Domestic Violence,29,X,Explosives,Violent Crime,14,No,,Open,Night,Adult
16547,21 November 2021,20 November 2021,04:59:00,Hyderabad,479,Traffic Violation,34,M,None,Traffic Fatality,6,No,,Open,Night,Adult
16548,22 November 2021,20 November 2021,21:19:00,Chennai,455,Sexual Assault,15,X,Blunt Object,Violent Crime,16,No,,Open,Evening,Teenager
16549,22 November 2021,20 November 2021,07:46:00,Mumbai,311,Drug Offense,57,M,Explosives,Other Crime,3,Yes,29-12-2021 12:00,Closed,Morning,Senior Citizen
16550,21 November 2021,20 November 2021,01:53:00,Delhi,109,Public Intoxication,11,M,Firearm,Other Crime,3,No,,Open,Night,Child
16551,23 November 2021,20 November 2021,13:26:00,Kolkata,415,Assault,49,M,Explosives,Violent Crime,6,No,,Open,Afternoon,Adult
16552,23 November 2021,20 November 2021,05:48:00,Chennai,540,Extortion,62,X,Other,Other Crime,5,Yes,30-11-2021 02:00,Closed,Night,Senior Citizen
16553,21 November 2021,20 November 2021,13:06:00,Mumbai,514,Sexual Assault,17,X,Firearm,Violent Crime,16,No,,Open,Afternoon,Teenager
16554,21 November 2021,20 November 2021,22:21:00,Hyderabad,565,Shoplifting,36,X,Blunt Object,Other Crime,11,No,,Open,Evening,Adult
16555,22 November 2021,20 November 2021,13:22:00,Hyderabad,340,Illegal Possession,76,F,Poison,Other Crime,9,Yes,16-02-2022 15:00,Closed,Afternoon,Senior Citizen
16556,22 November 2021,20 November 2021,05:10:00,Mumbai,281,Traffic Violation,57,F,Explosives,Traffic Fatality,16,No,,Open,Night,Senior Citizen
16557,23 November 2021,20 November 2021,07:30:00,Pune,386,Robbery,19,X,Firearm,Violent Crime,18,Yes,18-03-2022 17:00,Closed,Morning,Teenager
16558,22 November 2021,20 November 2021,15:08:00,Nagpur,210,Fraud,35,X,Knife,Other Crime,18,Yes,05-02-2022 06:00,Closed,Afternoon,Adult
16559,23 November 2021,20 November 2021,00:50:00,Pune,594,Extortion,69,X,Knife,Other Crime,15,No,,Open,Night,Senior Citizen
16560,21 November 2021,20 November 2021,02:32:00,Ahmedabad,367,Arson,16,M,Explosives,Fire Accident,18,Yes,16-12-2021 15:00,Closed,Night,Teenager
16561,22 November 2021,21 November 2021,14:10:00,Delhi,457,Vandalism,75,M,Other,Other Crime,13,Yes,19-01-2022 17:00,Closed,Afternoon,Senior Citizen
16562,22 November 2021,21 November 2021,15:57:00,Hyderabad,267,Vehicle - Stolen,76,X,Explosives,Violent Crime,15,No,,Open,Afternoon,Senior Citizen
16563,21 November 2021,21 November 2021,03:12:00,Chennai,323,Homicide,40,M,Explosives,Other Crime,6,Yes,10-04-2023 04:00,Closed,Night,Adult
16564,23 November 2021,21 November 2021,21:11:00,Kolkata,557,Counterfeiting,22,F,Knife,Other Crime,18,No,,Open,Evening,Adult
16565,23 November 2021,21 November 2021,00:01:00,Nagpur,356,Public Intoxication,50,F,None,Other Crime,13,No,,Open,Night,Adult
16566,22 November 2021,21 November 2021,08:20:00,Indore,333,Fraud,76,F,Blunt Object,Other Crime,17,No,,Open,Morning,Senior Citizen
16567,22 November 2021,21 November 2021,00:43:00,Delhi,454,Kidnapping,70,M,Blunt Object,Other Crime,13,Yes,01-01-2022 00:00,Closed,Night,Senior Citizen
16568,23 November 2021,21 November 2021,04:25:00,Patna,319,Identity Theft,23,X,Other,Violent Crime,19,No,,Open,Night,Adult
16569,23 November 2021,21 November 2021,19:32:00,Pune,516,Vehicle - Stolen,23,M,Explosives,Violent Crime,6,Yes,27-12-2021 10:00,Closed,Evening,Adult
16570,21 November 2021,21 November 2021,19:46:00,Ahmedabad,498,Sexual Assault,12,F,Blunt Object,Violent Crime,10,Yes,22-07-2022 20:00,Closed,Evening,Child
16571,21 November 2021,21 November 2021,06:52:00,Pune,373,Assault,63,X,Explosives,Violent Crime,10,No,,Open,Morning,Senior Citizen
16572,24 November 2021,21 November 2021,09:49:00,Kolkata,195,Vandalism,43,M,Blunt Object,Other Crime,11,No,,Open,Morning,Adult
16573,22 November 2021,21 November 2021,01:51:00,Hyderabad,150,Domestic Violence,38,F,None,Violent Crime,3,Yes,04-02-2022 14:00,Closed,Night,Adult
16574,24 November 2021,21 November 2021,06:49:00,Bangalore,439,Firearm Offense,35,X,None,Fire Accident,2,Yes,04-02-2022 08:00,Closed,Morning,Adult
16575,21 November 2021,21 November 2021,11:00:00,Lucknow,208,Shoplifting,17,M,Knife,Other Crime,17,Yes,15-12-2021 16:00,Closed,Morning,Teenager
16576,22 November 2021,21 November 2021,21:37:00,Kolkata,295,Burglary,75,M,None,Other Crime,19,Yes,20-02-2022 13:00,Closed,Evening,Senior Citizen
16577,23 November 2021,21 November 2021,16:30:00,Nagpur,559,Illegal Possession,49,F,Firearm,Other Crime,13,Yes,01-02-2022 02:00,Closed,Evening,Adult
16578,23 November 2021,21 November 2021,16:43:00,Delhi,189,Counterfeiting,47,X,Other,Other Crime,9,Yes,16-01-2022 23:00,Closed,Evening,Adult
16579,24 November 2021,21 November 2021,12:04:00,Hyderabad,467,Public Intoxication,61,X,Knife,Other Crime,17,Yes,02-12-2021 06:00,Closed,Afternoon,Senior Citizen
16580,21 November 2021,21 November 2021,14:20:00,Lucknow,189,Burglary,46,F,None,Other Crime,2,No,,Open,Afternoon,Adult
16581,22 November 2021,21 November 2021,00:47:00,Mumbai,381,Cybercrime,17,F,Firearm,Other Crime,11,No,,Open,Night,Teenager
16582,22 November 2021,21 November 2021,14:12:00,Lucknow,257,Extortion,73,X,Blunt Object,Other Crime,19,Yes,22-01-2022 00:00,Closed,Afternoon,Senior Citizen
16583,24 November 2021,21 November 2021,19:58:00,Bangalore,147,Vandalism,79,X,Blunt Object,Other Crime,4,Yes,01-01-2022 15:00,Closed,Evening,Senior Citizen
16584,24 November 2021,21 November 2021,02:08:00,Kolkata,473,Illegal Possession,32,F,Poison,Other Crime,16,Yes,19-02-2022 05:00,Closed,Night,Adult
16585,24 November 2021,22 November 2021,20:22:00,Mumbai,429,Burglary,66,X,None,Other Crime,11,No,,Open,Evening,Senior Citizen
16586,22 November 2021,22 November 2021,20:12:00,Jaipur,193,Drug Offense,70,M,Explosives,Other Crime,12,No,,Open,Evening,Senior Citizen
16587,22 November 2021,22 November 2021,13:57:00,Jaipur,106,Sexual Assault,72,F,None,Violent Crime,7,No,,Open,Afternoon,Senior Citizen
16588,23 November 2021,22 November 2021,10:47:00,Bhopal,550,Arson,10,M,Explosives,Fire Accident,16,Yes,12-12-2021 21:00,Closed,Morning,Child
16589,24 November 2021,22 November 2021,18:30:00,Chennai,379,Vandalism,43,M,None,Other Crime,17,Yes,15-01-2022 17:00,Closed,Evening,Adult
16590,23 November 2021,22 November 2021,09:56:00,Mumbai,230,Identity Theft,63,F,Firearm,Violent Crime,6,Yes,09-01-2022 17:00,Closed,Morning,Senior Citizen
16591,23 November 2021,22 November 2021,15:42:00,Varanasi,102,Kidnapping,20,F,Poison,Other Crime,12,No,,Open,Afternoon,Adult
16592,24 November 2021,22 November 2021,18:59:00,Delhi,318,Kidnapping,64,X,Blunt Object,Other Crime,17,No,,Open,Evening,Senior Citizen
